'data\baza_slika\040603\P6040008.jpg'   : IOU=0.7264963292444266   Predicted=RI325J521   Target=325J521
'data\baza_slika\040603\P6040017.jpg'   : IOU=0.4403720286321929   Predicted=SG84A   Target=ZG884AM
'data\baza_slika\040603\P6040044.jpg'   : IOU=0.5643435776610329   Predicted=Z62A   Target=ZG162LC
'data\baza_slika\040603\P6040046.jpg'   : IOU=0.4929595824687356   Predicted=PU742HV   Target=PU742HV
'data\baza_slika\040603\P6040059.jpg'   : IOU=0.46721709539387013   Predicted=NG619AA   Target=NG619AA
'data\baza_slika\040603\P6040065.jpg'   : IOU=0.7088251820228357   Predicted=ZG2216YE06   Target=2216YE06
'data\baza_slika\040603\P6040072.jpg'   : IOU=0.49999999968905473   Predicted=SI661BB   Target=SI661BM
'data\baza_slika\070603\P6070012.jpg'   : IOU=0.6421011668154855   Predicted=S538E945   Target=538E945
'data\baza_slika\070603\P6070023.jpg'   : IOU=0.341538461371654   Predicted=G371AI   Target=GS971AI
'data\baza_slika\070603\P6070024.jpg'   : IOU=0.4978749236725866   Predicted=ZG2462AE   Target=ZG2462AE
'data\baza_slika\070603\P6070027.jpg'   : IOU=0.5242790497644831   Predicted=RI304E7G   Target=304E726
'data\baza_slika\070603\P6070031.jpg'   : IOU=0.6664011465139389   Predicted=PZ807   Target=PZ807A0
'data\baza_slika\070603\P6070032.jpg'   : IOU=0.500629382979397   Predicted=DU711C8   Target=DU711CH
'data\baza_slika\070603\P6070067.jpg'   : IOU=0.5826421074758221   Predicted=KZ425   Target=KZ425V
'data\baza_slika\070603\P6070079.jpg'   : IOU=0.5479941527740807   Predicted=RI883FR   Target=RI883FV
'data\baza_slika\141002\Pa140002.jpg'   : IOU=0.40971067486436613   Predicted=SG233B   Target=S233IU
'data\baza_slika\141002\Pa140005.jpg'   : IOU=0.7310897684490121   Predicted=ZG927ZF   Target=ZG927UZ
'data\baza_slika\141002\Pa140011.jpg'   : IOU=0.7324046913150349   Predicted=SB798A   Target=SB798AM
'data\baza_slika\141002\Pa140026.jpg'   : IOU=0.45246784825666153   Predicted=ZG4948H   Target=ZG4948H
'data\baza_slika\141002\Pa140036.jpg'   : IOU=0.5431175504065455   Predicted=NGI   Target=GPJ442
'data\baza_slika\170902\P9170011.jpg'   : IOU=0.6933014345773907   Predicted=ZG8524A   Target=ZG8524AF
'data\baza_slika\170902\P9170022.jpg'   : IOU=0.44194756523654627   Predicted=ZG416PZ   Target=ZG416PZ
'data\baza_slika\170902\P9170034.jpg'   : IOU=0.6324031650843802   Predicted=FB8B1662   Target=FGH1662
'data\baza_slika\170902\P9170047.jpg'   : IOU=0.5792253517047709   Predicted=K8848M   Target=K8948M
'data\baza_slika\170902\P9170053.jpg'   : IOU=0.5787720126383008   Predicted=SPG06P   Target=SPG065
'data\baza_slika\180902\P9180039.jpg'   : IOU=0.0   Predicted=SGBH   Target=BRJ193
'data\baza_slika\180902\P9180041.jpg'   : IOU=0.6759973830268183   Predicted=ZU178J   Target=ZU178U
'data\baza_slika\180902\P9180047.jpg'   : IOU=0.6392493045416767   Predicted=LGS592AC   Target=GS592AC
'data\baza_slika\180902\P9180048.jpg'   : IOU=0.6371932305863443   Predicted=MA55G   Target=BA056GD
'data\baza_slika\180902\P9190057.jpg'   : IOU=0.6961977538482897   Predicted=NJLKK50   Target=LLKK50
'data\baza_slika\180902\P9190058.jpg'   : IOU=0.2837837835633863   Predicted=NAE87   Target=NUEC860
'data\baza_slika\180902\P9190059.jpg'   : IOU=0.4686485384855433   Predicted=T37938   Target=317J939
'data\baza_slika\180902\P9190060.jpg'   : IOU=0.6575471692943812   Predicted=VZ876CE   Target=VZ876CI
'data\baza_slika\180902\P9190063.jpg'   : IOU=0.45405497475348994   Predicted=ZG687L   Target=ZG687NL
'data\baza_slika\180902\P9190065.jpg'   : IOU=0.5333333329534663   Predicted=LBSVS   Target=LJV544S
'data\baza_slika\180902\P9190066.jpg'   : IOU=0.4235134673695465   Predicted=LJ8L   Target=VT418B
'data\baza_slika\210503\P1010005.jpg'   : IOU=0.6937307293454621   Predicted=VU0K414   Target=010K414
'data\baza_slika\210503\P1010008.jpg'   : IOU=0.5840881639572826   Predicted=KK23IS   Target=KK2313L
'data\baza_slika\210503\P1010020.jpg'   : IOU=0.5887730223532144   Predicted=DE451J   Target=DE451K
'data\baza_slika\210503\P1010031.jpg'   : IOU=0.39913043456569   Predicted=SB010AF   Target=ZG8010AF
'data\baza_slika\210503\P1010039.jpg'   : IOU=0.5638941208665142   Predicted=M407P   Target=MB4071P
'data\baza_slika\280503\P5280002.jpg'   : IOU=0.6288819863569838   Predicted=0G36057   Target=036J037
'data\baza_slika\280503\P5280003.jpg'   : IOU=0.0   Predicted=F8K   Target=ZG9074F
'data\baza_slika\280503\P5280011.jpg'   : IOU=0.6776556755871316   Predicted=ZG369L   Target=ZG969LN
'data\baza_slika\280503\P5280012.jpg'   : IOU=0.0   Predicted=A09K0J   Target=ZG6983AG
'data\baza_slika\280503\P5280015.jpg'   : IOU=0.14300306429051624   Predicted=LJSF   Target=ZG9023AI
'data\baza_slika\280503\P5280018.jpg'   : IOU=0.0   Predicted=G6888B   Target=ZG662PV
'data\baza_slika\280503\P5280056.jpg'   : IOU=0.6592760173537602   Predicted=ZG2424J   Target=ZG2424B
'data\baza_slika\280503\P5280093.jpg'   : IOU=0.5154211148104878   Predicted=FFD1004   Target=FFU1004
'data\baza_slika\280503\P5280105.jpg'   : IOU=0.655362627308116   Predicted=G04214   Target=GZ04214
'data\baza_slika\280503\P5280106.jpg'   : IOU=0.5899280571681308   Predicted=DU900CT   Target=DU900CF
'data\baza_slika\280503\P5280120.jpg'   : IOU=0.5382125513767233   Predicted=PU781   Target=PU781D
-------------------------
Mean IOU             : 0.78262
Recognition accuracy : 0.89784
Char Error Rate      : 0.03538
